walltime,energy
0,-2.2421(9)
33,-2.2439(17)
66,-2.2449(18)
99,-2.2428(20)
132,-2.2413(19)
165,-2.2456(19)
198,-2.2437(17)
231,-2.2432(20)
264,-2.2421(18)
297,-2.2427(17)
330,-2.2433(18)
363,-2.2416(19)
396,-2.2455(18)
