walltime,energy
0,-2.2376(38)
33,-2.2371(35)
66,-2.2416(34)
99,-2.2414(32)
132,-2.2508(55)
165,-2.2442(46)
198,-2.2449(57)
231,-2.2409(46)
264,-2.2623(61)
297,-2.3186(186)
330,-2.3983(235)
363,-2.6840(355)
396,-3.2388(472)
