walltime,energy
0,-2.2519(25)
33,-2.2512(49)
66,-2.2516(57)
99,-2.2472(33)
132,-2.2529(42)
165,-2.2506(30)
198,-2.2449(26)
231,-2.2461(30)
264,-2.2503(37)
297,-2.2459(34)
330,-2.2401(32)
363,-2.2382(27)
396,-2.2456(31)
